x_m,y_m,w_tr_right_m,w_tr_left_m
89622.33687796108,43186.56560532493,4.573912641889036,3.369400592409715
89623.22055278148,43187.04755338168,4.4942809915706325,3.3850568336176203
89624.12183086146,43187.49265529128,4.400220814687878,3.722608627786227
89625.03975816608,43187.89333926998,4.113405677956855,3.7540810196065735
89625.97691174266,43188.23736463714,3.8384247294439633,3.961169900017476
89626.93188444809,43188.532372332986,3.6258673911223913,4.0809207731629895
89627.8975587525,43188.814498858526,3.583581164145751,4.157243755944814
89628.87007382663,43189.08210765035,3.6459515219054968,3.975113740666053
89629.86055582353,43189.16566157148,3.749370111228577,3.722655825730623
89630.8522690608,43188.97556108654,3.6842287847063164,3.743648308754956
89631.78792892954,43188.58269945353,3.583892654093267,3.7525432281813056
89632.63117639511,43188.04356870042,3.5303957982067455,3.8038749416285547
89633.38501871507,43187.38724550893,3.4422773405172618,3.712203150647341
89634.09022522754,43186.66847857859,3.499712797560978,3.5530212276078026
89634.75892585068,43185.91621733435,3.6381445613312158,3.4149594535917
89635.32911540587,43185.09484431643,3.7999187587637646,3.5066016444475925
89635.78266046435,43184.19687841867,3.8050881615137886,3.5158040398446486
89636.28811599352,43183.34130539814,3.8863749774203753,3.4898911228288507
89636.95531889213,43182.60146686101,4.140212577084154,3.3979808050399645
89637.7075465871,43181.91349285257,4.135517392572067,3.3022716589369185
89638.49073850986,43181.26438099744,3.9493661697802103,3.2820523936594794
89639.3722865534,43180.82720386168,3.796059093702209,3.282154183221671
89640.36946245769,43180.67958954383,3.7289153077810044,3.160785997043263
89641.38334133559,43180.68512600162,3.7424907476187075,2.949979432494505
89642.38060530608,43180.780208745935,3.8202146228574416,2.887670999300238
89643.36467538754,43180.94607962958,3.814397287692827,2.834796679527862
89644.34317459169,43181.15433418924,3.8604010310140024,2.8361138730563646
89645.33209058021,43181.35562041058,3.819748181228046,2.9551208858779643
89646.30650942026,43181.59824483517,3.7691387435823795,3.193800714673827
89647.20799137866,43182.01149540101,3.9367454636128953,3.336779606561145
89648.05323110828,43182.55782978873,4.116750760084926,3.4910444048715688
89648.91464401461,43183.07555050605,4.194022457928838,3.6645904443329935
89649.80102604505,43183.54138152864,4.163673656537896,3.610529080691056
89650.68272807443,43184.016257815136,4.04877880487948,3.817716151658075
89651.55776110549,43184.504882220645,3.9219182837682354,4.244177464003207
89652.43736734285,43184.985011995006,3.728158995801092,3.9540044127413316
89653.33013356185,43185.43963025022,3.4990285667427234,3.9258699160360813
89654.22873857622,43185.88305654424,3.239614304767911,4.159002619252223
89655.12151298356,43186.33815921375,3.038875063042841,4.21148752986209
89656.01300943275,43186.79565883252,3.039110563854851,4.244854815780501
89656.918238545,43187.22555113345,3.0571843756734585,4.535143187305201
89657.85129824998,43187.59387498677,3.2635565230207018,4.559811822420036
89658.82185816247,43187.85194399116,3.5181117051888653,4.827882724011335
89659.83635295727,43187.9463470791,3.8148878400140873,5.060912513453494
89660.83308705625,43187.79219760737,4.0688379519167475,3.389219645053508
89661.68503263405,43187.292106797126,4.107414274345703,2.895753335718314
89662.40020018989,43186.56614695824,4.041934002507807,2.8724433244748875
89663.04890178211,43185.79960688791,3.9763911283640887,2.578584601198475
89663.66720659105,43185.01491387808,4.124624059269625,2.5751001735628405
89664.24846462674,43184.19595385988,4.362854050239558,2.5154629295139714
89664.73460733902,43183.320860947744,4.646400624831191,2.471500009416899
89665.0754967545,43182.37877787479,3.872950021590476,2.775779001746383
89665.23909542724,43181.37617036256,4.100549420207457,2.9910222874801917
89665.18751165454,43180.337584737215,4.23023029451203,2.7221395737557006
89664.82812346985,43179.41140597276,4.092636635692653,2.47887828866385
89664.10724366689,43178.73720445825,3.706947028134061,2.4567310348458204
89663.25313036267,43178.16761244295,3.339124723358449,2.5247152588064172
89662.44116572614,43177.57476708955,3.1369874008672864,2.5222338574813605
89661.6384741582,43176.988529856375,3.095323880825847,2.3627057403742535
89660.80015287356,43176.44715455209,3.1418425834378265,2.394987351274217
89659.92900673037,43175.94732447473,4.193474917263432,3.2995767621127188
89659.04641532172,43175.47047172653,4.25073194776189,3.4551103057152814
89658.1486957766,43175.02695691376,4.173474003522291,3.382241100224958
89657.22786238437,43174.63081872891,3.982307521523559,3.507756007355493
89656.28897373084,43174.278752194,3.7270667047174526,3.5247168177829566
89655.33785412317,43173.96530290386,3.6206189633932655,3.549835615362855
89654.37693024435,43173.68303868276,3.4453628260112663,3.3080548815201665
89653.40741965795,43173.4238235218,3.4211373864990224,3.215512332629237
89652.43106471478,43173.18111239731,3.366239717955979,3.1016162969967596
89651.45195356775,43172.95545598804,3.4528265488605188,2.885227458788836
89650.47482774752,43172.749381343,3.5929074187008165,2.844857096227329
89649.50340603528,43172.56322790461,3.648476538510735,2.7714690500469734
89648.53057870251,43172.37417325015,3.7323480133857716,2.84021780946896
